,age,fnlwgt,hours-per-week,investment-status,workclass,education,marital-status,occupation,relationship,race,sex,native-country,earnings
20831,-0.12476778582770988,1.5838332695723927,0.6289893343707778,-0.12710540458386055,Private,Compulsory-education-complete,Once-Married,Blue-Collar,Unmarried,White, Female,North-America,-1
40348,2.105760239376987,-0.5120987004789261,-0.5957218586126954,-0.12710540458386055,Government,Compulsory-education-complete,Once-Married,Adm-clerical,Not-in-family,White, Female,North-America,-1
29337,-1.2760080569011019,-0.09995445176203507,-1.657138225865039,-0.12710540458386055,Government,Undergrad-incomplete,Never-married,Other-service,Own-child,Black, Male,North-America,-1
40591,0.5947573835931602,1.420055630510701,0.38404709577408314,-0.12710540458386055,Private,Undergrad-complete,Married,Prof-specialty,Spouse,White, Female,North-America,-1
47651,0.7386624174773342,-0.07156267071086002,0.7922841601019075,-0.12710540458386055,Private,Undergrad-complete,Married,Sales,Spouse,White, Male,North-America,1
17331,0.019137248056464138,-0.06491396249001521,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-complete,Married,Prof-specialty,Spouse,White, Male,North-America,1
19354,1.5301401038402913,-0.6303095170540883,0.6289893343707778,0.93395859246297,Private,Undergrad-complete,Once-Married,Prof-specialty,Not-in-family,White, Female,North-America,1
24972,0.16304228194063816,-1.509896729946305,1.7720531144886862,-0.12710540458386055,Other,Compulsory-education-complete,Married,Sales,Spouse,White, Male,North-America,-1
11888,-0.3406253366539709,0.2988829228912306,2.588527243144335,-0.12710540458386055,Government,Undergrad-incomplete,Once-Married,Other-service,Own-child,White, Male,North-America,-1
30976,0.6667099005352471,-1.3466392600910806,-0.024189968553741305,-0.12710540458386055,Private,Associates,Once-Married,Adm-clerical,Unmarried,White, Female,North-America,-1
13631,0.8106149344194212,-0.38460049916283984,-0.024189968553741305,-0.37063030848002765,Private,Graduates,Married,Prof-specialty,Spouse,White, Male,North-America,1
27325,-0.4125778535960579,-0.2051515805535808,-0.024189968553741305,-0.12710540458386055,Private,Associates,Married,Other-service,Not-in-family,White, Female,North-America,-1
31897,-0.7723404383064929,0.943013180070571,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-incomplete,Never-married,Sales,Unmarried,Black, Female,North-America,-1
6956,0.5228048666510732,-0.8077723350568361,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
35184,-0.5564828874802319,-1.3544134253222817,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Never-married,Sales,Not-in-family,White, Female,North-America,-1
8959,-0.84429295524858,-0.6483073715978546,-0.024189968553741305,-0.12710540458386055,Other,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
29271,-0.2686728197118839,0.24220339463017393,0.7922841601019075,-0.12710540458386055,Private,Undergrad-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
13492,-0.7723404383064929,-0.536953330926124,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-complete,Never-married,Exec-managerial,Own-child,White, Male,North-America,-1
19412,0.30694731582481216,-0.8111676213317768,-0.024189968553741305,-0.12710540458386055,Government,Undergrad-incomplete,Once-Married,Other-service,Unmarried,White, Female,North-America,-1
9666,-0.700387921364406,-0.5973024164982585,-0.18748479428487108,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Not-in-family,White, Female,Central-America,-1
5087,-0.7723404383064929,-0.46551991244526947,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Blue-Collar,Own-child,White, Male,North-America,-1
35589,0.16304228194063816,0.005299422761125239,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-complete,Married,Exec-managerial,Spouse,White, Male,North-America,1
10727,1.1703775191298562,0.15743472921988674,-1.657138225865039,-0.37063030848002765,Private,Graduates,Married,Other-service,Spouse,White, Male,North-America,1
27541,-0.4125778535960579,-0.3435165894738643,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Blue-Collar,Unmarried,White, Male,North-America,-1
43767,0.4508523497089862,-0.8354264215970213,0.3023996829085182,1.7235360502143262,Private,Undergrad-incomplete,Married,Other-service,Spouse,White, Male,North-America,1
36779,0.5228048666510732,0.8184184686887654,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Married,Other-service,Spouse,White, Male,North-America,-1
12700,0.4508523497089862,-1.4278613172754546,2.8334694817410297,-0.12710540458386055,Other,Undergrad-incomplete,Never-married,Other-service,Own-child,White, Male,North-America,-1
4725,-1.132103023016928,-0.6158298978704277,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Blue-Collar,Other,White, Male,North-America,-1
29102,-0.19672030276979688,-0.7805532991256963,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Never-married,Exec-managerial,Not-in-family,White, Male,North-America,-1
1650,-1.419913090785276,1.246101590246123,-1.657138225865039,-0.12710540458386055,Private,Undergrad-incomplete,Never-married,Blue-Collar,Own-child,White, Male,North-America,-1
220,-0.5564828874802319,0.05859312236917703,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
21251,-0.4845303705381449,0.7633372785348536,-0.024189968553741305,-0.12710540458386055,Private,Associates,Never-married,Adm-clerical,Not-in-family,White, Female,North-America,-1
1583,0.019137248056464138,-0.5953541463794905,-0.024189968553741305,1.168737786608693,Private,Compulsory-education-complete,Once-Married,Adm-clerical,Not-in-family,White, Male,North-America,1
22737,-0.6284354044223189,0.2542807778421495,0.38404709577408314,-0.12710540458386055,Private,Associates,Married,Sales,Spouse,White, Male,North-America,1
33459,0.4508523497089862,0.20310558554770966,0.38404709577408314,0.8198948286754885,Other,Undergrad-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America,1
46965,-0.700387921364406,0.054072379083880004,0.38404709577408314,-0.12710540458386055,Private,Compulsory-education-incomplete,Never-married,Blue-Collar,Not-in-family,White, Male,North-America,-1
21623,0.8106149344194212,-0.9659132314448102,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
24044,0.8825674513615082,0.1270663051841362,0.38404709577408314,-0.12710540458386055,Private,Undergrad-incomplete,Once-Married,Sales,Not-in-family,White, Female,North-America,1
19360,-0.700387921364406,-0.16096557086967342,0.9555789858330374,-0.12710540458386055,Private,Compulsory-education-incomplete,Once-Married,Blue-Collar,Unmarried,White, Female,North-America,-1
20232,0.09108976499855115,-0.5141226315731804,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-complete,Once-Married,Adm-clerical,Not-in-family,Black, Female,North-America,-1
41905,-0.12476778582770988,0.11314468569468594,1.118873811564167,-0.12710540458386055,Government,Compulsory-education-complete,Married,Other-service,Spouse,White, Male,North-America,1
12736,1.3862350699561172,-0.6835843014182686,1.6087582887575564,-0.12710540458386055,Private,Associates,Once-Married,Adm-clerical,Not-in-family,White, Female,North-America,-1
46776,2.177712756319074,-1.3649586737806627,-2.881849418848512,-0.12710540458386055,Government,Graduates,Once-Married,Prof-specialty,Not-in-family,White, Female,North-America,-1
13738,-0.9881979891327539,0.42159556750781835,-0.8406640972093902,-0.12710540458386055,Private,Graduates,Never-married,Prof-specialty,Not-in-family,White, Female,North-America,-1
45567,1.1703775191298562,-0.413067941189501,1.4454634630264267,-0.12710540458386055,Private,Undergrad-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
39652,0.5228048666510732,-0.24838237042197558,-0.024189968553741305,0.5107155121457062,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Female,North-America,1
7405,1.1703775191298562,1.5440355964666816,-0.024189968553741305,-0.12710540458386055,Private,Associates,Once-Married,Adm-clerical,Unmarried,White, Female,North-America,-1
8164,-1.132103023016928,-0.08673269629583163,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-incomplete,Never-married,Blue-Collar,Own-child,White, Male,North-America,-1
21116,-0.3406253366539709,0.32753005973467136,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Married,Other-service,Spouse,White, Male,North-America,1
19120,0.7386624174773342,-1.294679085175972,0.38404709577408314,0.2551190652137149,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America,1
5752,-0.4125778535960579,0.9533314456024937,0.7922841601019075,-0.12710540458386055,Private,Compulsory-education-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
28185,-0.4845303705381449,0.1690392313350739,1.2005212244297319,-0.12710540458386055,Private,Graduates,Married,Exec-managerial,Spouse,White, Male,North-America,1
10749,0.019137248056464138,0.6178885107846799,-0.024189968553741305,-0.12710540458386055,Government,Undergrad-complete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
737,0.30694731582481216,0.6553690665161279,0.7922841601019075,-0.12710540458386055,Government,Undergrad-complete,Married,Prof-specialty,Spouse,White, Male,North-America,-1
35507,-0.3406253366539709,1.7792939421189067,1.6087582887575564,-0.12710540458386055,Private,Undergrad-complete,Married,Sales,Spouse,White, Male,North-America,1
40571,0.6667099005352471,-1.2767852644734992,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Once-Married,Other-service,Not-in-family,White, Female,North-America,-1
16048,1.4581875868982042,0.42622034463440883,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-incomplete,Married,Other-service,Spouse,White, Male,Central-America,-1
30602,-1.132103023016928,-1.4380282608564052,-2.4736123545206876,-0.12710540458386055,Private,Undergrad-incomplete,Never-married,Blue-Collar,Own-child,White, Male,North-America,-1
48364,0.5228048666510732,0.31110217043224264,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,Black, Male,North-America,1
13463,0.23499479888272515,1.3699207766291956,1.6087582887575564,1.7235360502143262,Other,Undergrad-complete,Married,Blue-Collar,Spouse,White, Male,North-America,1
18224,-0.5564828874802319,0.9461152800655028,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
21353,-1.491865607727363,0.18222315631353425,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Adm-clerical,Own-child,White, Female,North-America,-1
19514,-1.204055539959015,1.1807305074260956,0.7922841601019075,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Blue-Collar,Not-in-family,White, Male,North-America,-1
33021,-0.3406253366539709,-0.7405381007154626,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Married,Blue-Collar,Spouse,White, Male,Europe,-1
3485,1.1703775191298562,1.490893218809602,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-complete,Married,Exec-managerial,Spouse,White, Male,North-America,1
29850,1.8179501716086393,-0.23596451282031242,-1.657138225865039,-0.12710540458386055,Private,Undergrad-incomplete,Married,Exec-managerial,Spouse,White, Male,North-America,-1
37989,0.9545199683035952,-0.9817642058091571,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,Black, Male,North-America,1
20562,0.30694731582481216,-1.4813536269441576,-1.575490812999474,-0.12710540458386055,Other,Undergrad-complete,Married,Prof-specialty,Spouse,White, Male,North-America,-1
46991,0.5947573835931602,-0.2724331030046332,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Once-Married,Other-service,Own-child,Black, Female,North-America,-1
20682,2.105760239376987,-0.34773468885721676,-0.8406640972093902,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Sales,Not-in-family,White, Female,North-America,-1
16582,-0.7723404383064929,-0.27673632098540757,1.6087582887575564,-0.12710540458386055,Private,Undergrad-complete,Never-married,Blue-Collar,Not-in-family,Black, Male,North-America,-1
22949,-0.05281526888562287,-1.1412480845120103,0.38404709577408314,-0.12710540458386055,Private,Compulsory-education-complete,Once-Married,Prof-specialty,Not-in-family,White, Male,North-America,-1
46794,0.30694731582481216,-1.192792124061945,0.465694508639648,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Blue-Collar,Not-in-family,White, Female,North-America,-1
6559,-0.4845303705381449,-0.013001075684585535,-0.024189968553741305,-0.12710540458386055,Other,Compulsory-education-complete,Married,Other-service,Spouse,White, Male,Europe,-1
26926,-0.4125778535960579,1.1464182550431299,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-complete,Married,Prof-specialty,Spouse,Black, Male,North-America,1
8061,-0.4125778535960579,-0.34488794465455064,-0.4324270328815657,-0.12710540458386055,Private,Compulsory-education-incomplete,Once-Married,Blue-Collar,Not-in-family,White, Male,North-America,-1
12009,-0.7723404383064929,0.17152658590418082,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-incomplete,Married,Blue-Collar,Spouse,White, Female,North-America,-1
12324,0.5228048666510732,-0.5556605071150728,0.38404709577408314,-0.12710540458386055,Private,Compulsory-education-complete,Married,Sales,Spouse,White, Male,North-America,1
33196,0.23499479888272515,-0.16812499067504968,0.9555789858330374,-0.12710540458386055,Private,Compulsory-education-complete,Married,Adm-clerical,Not-in-family,White, Male,North-America,-1
22984,1.2423300360719431,0.01691338249824815,2.016995353085381,-0.3613918826873051,Private,Undergrad-complete,Married,Prof-specialty,Spouse,White, Male,North-America,1
42521,-0.4125778535960579,-0.6856838934880091,0.7922841601019075,-0.12710540458386055,Private,Graduates,Never-married,Prof-specialty,Not-in-family,White, Male,North-America,-1
30285,0.16304228194063816,0.20077901055151076,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-incomplete,Married,Blue-Collar,Spouse,White, Male,Central-America,-1
30173,-1.0601505060748408,1.313723587086863,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-complete,Married,Prof-specialty,Spouse,White, Female,North-America,-1
13934,-0.700387921364406,-1.3395460436392546,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Married,Other-service,Spouse,White, Male,North-America,-1
4082,0.9545199683035952,0.10678916375384995,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
9284,-1.132103023016928,-0.7728075067603024,1.6087582887575564,-0.12710540458386055,Private,Undergrad-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
29322,1.5301401038402913,3.2267546065223676,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America,1
41019,-0.700387921364406,-1.2888342748196675,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America,1
37320,-0.5564828874802319,0.14133785668520987,1.6087582887575564,-0.3987151228899043,Other,Compulsory-education-incomplete,Never-married,Blue-Collar,Not-in-family,White, Male,North-America,-1
39645,1.4581875868982042,-0.04388021130486754,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Once-Married,Adm-clerical,Not-in-family,Black, Male,North-America,-1
832,-0.916245472190667,0.836321747013174,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Never-married,Blue-Collar,Own-child,White, Male,North-America,-1
40997,0.30694731582481216,0.29405007808205325,0.3023996829085182,-0.3737097837442685,Private,Associates,Married,Exec-managerial,Spouse,White, Male,North-America,-1
38759,0.16304228194063816,1.445638497846953,1.6087582887575564,1.541970188634685,Private,Compulsory-education-complete,Once-Married,Exec-managerial,Not-in-family,White, Female,North-America,1
8355,-0.4125778535960579,-1.4108848859007515,2.425232417413205,-0.12710540458386055,Other,Compulsory-education-incomplete,Married,Exec-managerial,Spouse,White, Male,North-America,-1
22890,-0.05281526888562287,2.494110465646176,1.853700527354251,-0.12710540458386055,Private,Undergrad-complete,Married,Exec-managerial,Spouse,White, Male,North-America,1
37576,-0.84429295524858,-1.4238418279527534,-0.024189968553741305,-0.12710540458386055,Government,Undergrad-incomplete,Married,Blue-Collar,Spouse,Black, Male,North-America,-1
17052,0.4508523497089862,-0.04061733173702763,2.425232417413205,0.7881146439485228,Private,Graduates,Once-Married,Exec-managerial,Unmarried,White, Male,North-America,1
12159,1.6020926207823782,-0.677909728256808,0.7922841601019075,-0.12710540458386055,Other,Undergrad-complete,Married,Sales,Spouse,White, Male,North-America,-1
41698,-0.12476778582770988,-0.17721376535532257,2.425232417413205,-0.34156006198559397,Private,Undergrad-incomplete,Once-Married,Blue-Collar,Not-in-family,White, Male,North-America,-1
17223,-1.347960573843189,-1.3018668778471556,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Blue-Collar,Own-child,White, Male,North-America,-1
29639,-1.132103023016928,1.0541118649500358,-0.8406640972093902,-0.12710540458386055,Private,Undergrad-incomplete,Never-married,Adm-clerical,Own-child,White, Male,North-America,-1
21952,-1.56381812466945,0.2309677397704817,-0.8406640972093902,-0.12710540458386055,Private,Compulsory-education-incomplete,Never-married,Other-service,Own-child,White, Female,North-America,-1
47853,-0.05281526888562287,-0.35423207512708926,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-complete,Married,Prof-specialty,Spouse,Other, Male,North-America,1
41342,0.6667099005352471,-0.15172547423842825,-0.024189968553741305,-0.12710540458386055,Other,Associates,Married,Blue-Collar,Spouse,White, Male,North-America,1
24223,0.37889983276689915,-0.18986806350537996,-0.024189968553741305,0.8198948286754885,Government,Associates,Married,Blue-Collar,Spouse,White, Male,North-America,1
28815,1.1703775191298562,-1.3582059317185247,-0.024189968553741305,-0.12710540458386055,Government,Compulsory-education-incomplete,Once-Married,Adm-clerical,Not-in-family,White, Female,North-America,-1
48444,-0.84429295524858,0.19779040201980813,-0.024189968553741305,-0.34143688297502434,Private,Associates,Married,Blue-Collar,Spouse,White, Male,North-America,-1
11269,-0.05281526888562287,-0.9452767003809648,-0.024189968553741305,-0.12710540458386055,Government,Compulsory-education-complete,Married,Adm-clerical,Spouse,White, Male,North-America,-1
9665,0.16304228194063816,-0.27876970970159765,-0.024189968553741305,0.09843536376913999,Private,Compulsory-education-complete,Never-married,Blue-Collar,Own-child,White, Female,South-America,-1
36976,-0.6284354044223189,-0.0574518987826944,-0.024189968553741305,-0.12710540458386055,Government,Undergrad-complete,Never-married,Exec-managerial,Own-child,White, Female,North-America,-1
40865,-0.6284354044223189,-0.5076252453033079,0.05745744431182358,-0.12710540458386055,Private,Associates,Never-married,Other-service,Not-in-family,White, Female,North-America,-1
27150,0.5947573835931602,-0.9160242757336349,0.38404709577408314,-0.12710540458386055,Private,Associates,Married,Exec-managerial,Spouse,White, Female,North-America,1
14753,1.2423300360719431,-0.8729920959258912,-0.024189968553741305,-0.3262858646749593,Private,Compulsory-education-complete,Once-Married,Adm-clerical,Unmarried,White, Female,North-America,-1
43714,0.7386624174773342,-0.837393606959661,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-complete,Married,Blue-Collar,Spouse,White, Male,North-America,1
47125,-0.84429295524858,1.9510821869601938,-0.8406640972093902,-0.12710540458386055,Private,Compulsory-education-incomplete,Married,Other-service,Spouse,Black, Female,North-America,-1
19905,0.16304228194063816,0.8634745795907635,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Once-Married,Adm-clerical,Not-in-family,White, Female,North-America,-1
20625,0.23499479888272515,-1.1368692055557497,0.7922841601019075,-0.12710540458386055,Private,Undergrad-incomplete,Married,Exec-managerial,Spouse,White, Male,North-America,-1
19420,0.6667099005352471,-0.18611338759688012,-2.0653752901928635,-0.12710540458386055,Other,Compulsory-education-complete,Once-Married,Prof-specialty,Not-in-family,White, Male,North-America,-1
45475,0.16304228194063816,1.1185277279545507,0.7922841601019075,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
5105,-0.4125778535960579,0.13225853962687276,-1.657138225865039,-0.12710540458386055,Private,Associates,Married,Blue-Collar,Not-in-family,White, Male,North-America,-1
30786,0.30694731582481216,0.5345574039086295,-0.18748479428487108,-0.12710540458386055,Private,Associates,Never-married,Adm-clerical,Not-in-family,White, Female,North-America,-1
39755,-0.5564828874802319,0.9227171233964132,-0.4324270328815657,-0.12710540458386055,Private,Compulsory-education-complete,Married,Exec-managerial,Spouse,White, Female,North-America,-1
43612,0.09108976499855115,-0.38900775098490764,-0.024189968553741305,-0.37063030848002765,Government,Undergrad-complete,Married,Adm-clerical,Spouse,White, Male,North-America,1
3567,1.3142825530140303,0.6198084080376408,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
28029,-0.4845303705381449,-0.020841444269337078,1.6087582887575564,-0.12710540458386055,Other,Compulsory-education-complete,Never-married,Other-service,Not-in-family,White, Female,North-America,-1
37431,-0.19672030276979688,-1.085608894663888,-0.024189968553741305,0.5107155121457062,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America,1
40328,-0.4125778535960579,1.959707538165614,-0.024189968553741305,-0.12710540458386055,Other,Undergrad-complete,Never-married,Other-service,Own-child,White, Male,North-America,-1
45317,-0.7723404383064929,-0.6197548109737715,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Never-married,Other-service,Not-in-family,White, Female,North-America,-1
33502,-0.05281526888562287,0.24836976413229456,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,Black, Male,North-America,-1
26263,-0.05281526888562287,-1.5015645650208935,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-incomplete,Once-Married,Sales,Unmarried,White, Female,North-America,-1
26646,0.6667099005352471,1.4580468978266803,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Married,Other-service,Spouse,White, Male,North-America,1
27973,0.8106149344194212,3.3734990684777415,-1.657138225865039,-0.12710540458386055,Private,Undergrad-complete,Married,Other-service,Spouse,White, Male,North-America,1
1678,-0.84429295524858,-0.6015583463693541,0.7922841601019075,-0.12710540458386055,Government,Undergrad-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
926,-0.12476778582770988,0.21821886540106666,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
33389,-1.204055539959015,-0.14646703644214132,-1.2489011615372145,-0.12710540458386055,Private,Undergrad-incomplete,Never-married,Other-service,Own-child,White, Female,North-America,-1
30658,0.23499479888272515,-1.065199346526501,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Once-Married,Blue-Collar,Unmarried,White, Male,North-America,-1
5262,0.23499479888272515,-0.11450973192118179,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Once-Married,Other-service,Not-in-family,White, Female,North-America,-1
26714,-0.84429295524858,0.6190896287705224,-0.4324270328815657,-0.12710540458386055,Government,Undergrad-complete,Never-married,Blue-Collar,Other,White, Male,North-America,-1
42651,0.8106149344194212,-0.5141699196828593,-0.024189968553741305,-0.12710540458386055,Private,Associates,Once-Married,Blue-Collar,Unmarried,White, Male,North-America,-1
25371,-0.4845303705381449,-1.307910298264111,-0.3507796200160008,-0.12710540458386055,Private,Undergrad-incomplete,Married,Blue-Collar,Spouse,White, Male,North-America,-1
2511,2.2496652732611615,0.6684678728971664,-2.8002020059829476,-0.12710540458386055,Private,Undergrad-incomplete,Never-married,Adm-clerical,Not-in-family,White, Female,North-America,-1
14465,-1.491865607727363,2.0089912060729,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Married,Adm-clerical,Spouse,White, Female,North-America,-1
18042,-0.05281526888562287,-1.5050544275151918,-0.024189968553741305,-0.12710540458386055,Private,Undergrad-incomplete,Married,Exec-managerial,Spouse,White, Male,North-America,1
16795,1.7459976546665523,-0.7368307129166416,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Exec-managerial,Own-child,White, Female,North-America,-1
47710,-0.2686728197118839,-0.8633831520391511,0.38404709577408314,-0.35954419752876055,Private,Associates,Married,Sales,Spouse,White, Male,North-America,1
20616,-0.7723404383064929,-0.7818017052212176,-0.024189968553741305,-0.12710540458386055,Private,Compulsory-education-complete,Never-married,Blue-Collar,Not-in-family,White, Male,North-America,-1
21787,-1.347960573843189,0.2610051470384804,1.6087582887575564,-0.12710540458386055,Private,Compulsory-education-incomplete,Never-married,Blue-Collar,Not-in-family,White, Male,North-America,-1
